date;territoire;sp95;gazole
2011-04;Corse;1.587;1.447
2011-08;Corse;1.579;1.399
2011-09;Corse;1.581;1.401
2012-03;Corse;1.69;1.525
2012-05;Corse;1.702;1.5
2012-09;Corse;1.683;1.494
2013-01;Corse;1.62;1.454
2013-02;Corse;1.686;1.489
2011-09;2A;1.589;1.41
2011-10;2A;1.584;1.417
2012-02;2A;1.647;1.503
2011-10;Métropole hors Corse;1.495;1.347
2011-12;Métropole hors Corse;1.492;1.371
2012-01;Métropole hors Corse;1.55;1.409
2012-07;Métropole hors Corse;1.55;1.378
2011-03;Corse;1.573;1.433
2012-07;Corse;1.634;1.446
2012-10;Corse;1.644;1.476
2011-04;2A;1.593;1.451
2012-03;2A;1.695;1.524
2012-04;2A;1.741;1.528
2012-10;2A;1.651;1.486
2013-01;2A;1.632;1.464
2013-02;2A;1.69;1.492
2011-05;2B;1.587;1.419
2011-10;2B;1.571;1.398
2011-12;2B;1.578;1.459
2012-04;2B;1.737;1.522
2012-07;2B;1.632;1.442
2012-08;2B;1.697;1.506
2013-03;2B;1.693;1.485
2011-07;Métropole hors Corse;1.503;1.322
2012-03;Métropole hors Corse;1.636;1.445
2012-04;Métropole hors Corse;1.652;1.432
2012-08;Métropole hors Corse;1.609;1.427
2013-02;Métropole hors Corse;1.605;1.406
2011-06;Corse;1.582;1.396
2012-08;Corse;1.701;1.512
2012-12;Corse;1.585;1.443
2013-05;Corse;1.624;1.424
2011-07;2A;1.575;1.402
2011-12;2A;1.584;1.472
2012-08;2A;1.707;1.52
2013-03;2A;1.696;1.491
2013-04;2A;1.655;1.455
2011-03;2B;1.573;1.433
2011-06;2B;1.578;1.392
2011-08;2B;1.575;1.392
2012-03;2B;1.687;1.526
2012-10;2B;1.639;1.468
2013-01;2B;1.61;1.446
2013-02;2B;1.683;1.486
2013-05;2B;1.623;1.422
2013-06;2B;1.63;1.427
2011-04;Métropole hors Corse;1.533;1.364
2011-08;Métropole hors Corse;1.495;1.311
2012-06;Métropole hors Corse;1.529;1.342
2013-06;Métropole hors Corse;1.532;1.324
2011-12;Corse;1.58;1.465
2012-02;Corse;1.639;1.502
2012-06;Corse;1.639;1.451
2012-11;Corse;1.589;1.448
2011-05;2A;1.599;1.425
2011-08;2A;1.583;1.408
2011-11;2A;1.591;1.451
2012-01;2A;1.616;1.488
2012-06;2A;1.637;1.455
2012-09;2A;1.687;1.5
2012-12;2A;1.595;1.456
2013-05;2A;1.626;1.426
2013-06;2A;1.641;1.433
2011-04;2B;1.582;1.444
2011-11;2B;1.578;1.425
2012-09;2B;1.68;1.489
2012-11;2B;1.584;1.437
2012-12;2B;1.576;1.432
2013-04;2B;1.65;1.449
2011-11;Métropole hors Corse;1.488;1.378
2012-02;Métropole hors Corse;1.583;1.419
2012-09;Métropole hors Corse;1.563;1.386
2012-10;Métropole hors Corse;1.545;1.391
2012-12;Métropole hors Corse;1.499;1.353
2013-03;Métropole hors Corse;1.596;1.39
2013-05;Métropole hors Corse;1.528;1.327
2011-05;Corse;1.591;1.422
2011-07;Corse;1.574;1.391
2011-10;Corse;1.577;1.406
2011-11;Corse;1.584;1.436
2012-01;Corse;1.612;1.486
2012-04;Corse;1.739;1.525
2013-03;Corse;1.695;1.488
2013-04;Corse;1.652;1.452
2013-06;Corse;1.635;1.43
2011-03;2A;1.573;1.433
2011-06;2A;1.587;1.402
2012-05;2A;1.701;1.505
2012-07;2A;1.637;1.451
2012-11;2A;1.597;1.461
2011-07;2B;1.575;1.391
2011-09;2B;1.576;1.393
2012-01;2B;1.609;1.484
2012-02;2B;1.633;1.502
2012-05;2B;1.703;1.497
2012-06;2B;1.641;1.448
2011-03;Métropole hors Corse;1.506;1.36
2011-05;Métropole hors Corse;1.53;1.322
2011-06;Métropole hors Corse;1.5;1.319
2011-09;Métropole hors Corse;1.515;1.333
2012-05;Métropole hors Corse;1.581;1.399
2012-11;Métropole hors Corse;1.491;1.368
2013-01;Métropole hors Corse;1.551;1.379
2013-04;Métropole hors Corse;1.552;1.346
